N,n,lib,ne,nr,logname,Scatter Elapsed time,Kernel Elapsed time,Compression Elapsed time,Gather Elapsed time,Merge Elapsed time
1,2,mgdr,100000,1000,exp1_mgdr_2_1_E5.log,0.00401989,0.033792,0.009216,0.00137305,0.00011712
1,2,mgdr,1000000,10000,exp1_mgdr_2_1_E6.log,0.00341518,0.04096,0.024576,0.00625791,0.000199705
1,2,mgdr,10000000,100000,exp1_mgdr_2_1_E7.log,0.00776951,0.084992,0.187392,0.008692,0.000557658
1,2,mgdr,100000000,1000000,exp1_mgdr_2_1_E8.log,0.0523454,0.461824,1.71622,0.00912894,0.0009476
1,2,mgdr,1000000000,10000000,exp1_mgdr_2_1_E9.log,0.549924,3.76525,13.3437,0.0295281,0.00468178
2,2,mgdr,100000,1000,exp1_mgdr_2_2_E5.log,0.00234266,0.039936,0.009216,0.00128622,0.000108153
2,2,mgdr,1000000,10000,exp1_mgdr_2_2_E6.log,0.00253151,0.039936,0.026624,0.00673932,0.000187302
2,2,mgdr,10000000,100000,exp1_mgdr_2_2_E7.log,0.00686654,0.077824,0.2048,0.0105756,0.000630104
2,2,mgdr,100000000,1000000,exp1_mgdr_2_2_E8.log,0.048563,0.459776,1.65069,0.013448,0.000993145
2,2,mgdr,1000000000,10000000,exp1_mgdr_2_2_E9.log,0.462609,3.7591,13.0836,0.0358691,0.00469851
1,4,mgdr,100000,1000,exp1_mgdr_4_1_E5.log,0.00797075,0.04608,0.008192,0.00351208,0.000123042
1,4,mgdr,1000000,10000,exp1_mgdr_4_1_E6.log,0.00721161,0.037888,0.028672,0.0199994,0.000288612
1,4,mgdr,10000000,100000,exp1_mgdr_4_1_E7.log,0.0123546,0.064512,0.140288,0.0285002,0.000611769
1,4,mgdr,100000000,1000000,exp1_mgdr_4_1_E8.log,0.0523168,0.24576,1.12435,0.0267441,0.0013569
1,4,mgdr,1000000000,10000000,exp1_mgdr_4_1_E9.log,0.467409,2.03878,9.77818,0.0484129,0.00887742
2,4,mgdr,100000,1000,exp1_mgdr_4_2_E5.log,0.0102166,0.033792,0.008192,0.00368894,0.000387146
2,4,mgdr,1000000,10000,exp1_mgdr_4_2_E6.log,0.0178762,0.036864,0.017408,0.0152539,0.000214893
2,4,mgdr,10000000,100000,exp1_mgdr_4_2_E7.log,0.0246695,0.058368,0.13312,0.0324572,0.000636473
2,4,mgdr,100000000,1000000,exp1_mgdr_4_2_E8.log,0.0583095,0.24576,1.14688,0.0327634,0.0013645
2,4,mgdr,1000000000,10000000,exp1_mgdr_4_2_E9.log,0.43632,2.03981,9.87443,0.0598,0.008912
2,8,mgdr,100000,1000,exp1_mgdr_8_2_E5.log,0.0155259,0.033792,0.008192,0.0108602,0.000305662
2,8,mgdr,1000000,10000,exp1_mgdr_8_2_E6.log,0.0504814,0.04096,0.011264,0.0313198,0.000221836
2,8,mgdr,10000000,100000,exp1_mgdr_8_2_E7.log,0.042063,0.050176,0.086016,0.0603569,0.000669017
2,8,mgdr,100000000,1000000,exp1_mgdr_8_2_E8.log,0.0723806,0.137216,0.695296,0.0566239,0.00209596
2,8,mgdr,1000000000,10000000,exp1_mgdr_8_2_E9.log,0.428223,1.10182,6.30477,0.0855278,0.0178679
1,2,mpi,100000,1000,exp1_mpi_2_1_E5.log,0.000611118,0.038912,0.009216,0.00207804,0.000119284
1,2,mpi,1000000,10000,exp1_mpi_2_1_E6.log,0.00135331,0.04096,0.03072,0.00640036,0.000191891
1,2,mpi,10000000,100000,exp1_mpi_2_1_E7.log,0.00532752,0.084992,0.192512,0.00971059,0.000604255
1,2,mpi,100000000,1000000,exp1_mpi_2_1_E8.log,0.0399328,0.4608,1.67219,0.0103008,0.000998796
1,2,mpi,1000000000,10000000,exp1_mpi_2_1_E9.log,0.472462,3.76013,13.3571,0.0312686,0.00442836
2,2,mpi,100000,1000,exp1_mpi_2_2_E5.log,0.000150792,0.039936,0.008192,0.00155542,0.000119043
2,2,mpi,1000000,10000,exp1_mpi_2_2_E6.log,0.000770094,0.038912,0.0256,0.00763758,0.000192121
2,2,mpi,10000000,100000,exp1_mpi_2_2_E7.log,0.00388407,0.0768,0.19456,0.010566,0.000583947
2,2,mpi,100000000,1000000,exp1_mpi_2_2_E8.log,0.0327341,0.459776,1.6681,0.0133665,0.000997764
2,2,mpi,1000000000,10000000,exp1_mpi_2_2_E9.log,0.318242,3.76013,13.0673,0.0364182,0.0046807
1,4,mpi,100000,1000,exp1_mpi_4_1_E5.log,0.00052683,0.041984,0.008192,0.00467022,0.000128662
1,4,mpi,1000000,10000,exp1_mpi_4_1_E6.log,0.00124138,0.039936,0.017408,0.0211035,0.000200677
1,4,mpi,10000000,100000,exp1_mpi_4_1_E7.log,0.00555345,0.062464,0.145408,0.0252706,0.000607822
1,4,mpi,100000000,1000000,exp1_mpi_4_1_E8.log,0.0440149,0.244736,1.1561,0.0288223,0.00138514
1,4,mpi,1000000000,10000000,exp1_mpi_4_1_E9.log,0.510925,2.04186,9.76179,0.0491281,0.00887901
2,4,mpi,100000,1000,exp1_mpi_4_2_E5.log,0.00934488,0.028672,0.008192,0.00349961,0.000126578
2,4,mpi,1000000,10000,exp1_mpi_4_2_E6.log,0.0109503,0.03072,0.018432,0.0171667,0.00021356
2,4,mpi,10000000,100000,exp1_mpi_4_2_E7.log,0.017049,0.054272,0.128,0.0307188,0.000604756
2,4,mpi,100000000,1000000,exp1_mpi_4_2_E8.log,0.048796,0.246784,1.15098,0.032888,0.00138835
2,4,mpi,1000000000,10000000,exp1_mpi_4_2_E9.log,0.368098,2.03674,9.79251,0.0598268,0.00894312
2,8,mpi,100000,1000,exp1_mpi_8_2_E5.log,0.0294388,0.03072,0.008192,0.00930859,0.000156464
2,8,mpi,1000000,10000,exp1_mpi_8_2_E6.log,0.076509,0.036864,0.012288,0.12079,0.0126824
2,8,mpi,10000000,100000,exp1_mpi_8_2_E7.log,0.0263613,0.049152,0.083968,0.0581042,0.000645773
2,8,mpi,100000000,1000000,exp1_mpi_8_2_E8.log,0.0607114,0.147456,0.704512,0.063394,0.00213248
2,8,mpi,1000000000,10000000,exp1_mpi_8_2_E9.log,0.423835,1.10592,6.24026,0.0827231,0.0178649
1,2,nccl,100000,1000,exp1_nccl_2_1_E5.log,0.00179631,0.033792,0.009216,5.6766e-05,0.000110969
1,2,nccl,1000000,10000,exp1_nccl_2_1_E6.log,0.00206244,0.039936,0.024576,6.2808e-05,0.000185067
1,2,nccl,10000000,100000,exp1_nccl_2_1_E7.log,0.00472851,0.08192,0.186368,0.00011181,0.00101933
1,2,nccl,100000000,1000000,exp1_nccl_2_1_E8.log,0.0250461,0.463872,1.66298,0.000245561,0.00110671
1,2,nccl,1000000000,10000000,exp1_nccl_2_1_E9.log,0.230899,3.75808,13.3407,0.00119672,0.00431255
2,2,nccl,100000,1000,exp1_nccl_2_2_E5.log,0.0019923,0.036864,0.009216,0.000329329,0.000114735
2,2,nccl,1000000,10000,exp1_nccl_2_2_E6.log,0.00251385,0.04096,0.026624,0.000403977,0.000184687
2,2,nccl,10000000,100000,exp1_nccl_2_2_E7.log,0.00742233,0.082944,0.186368,0.000917443,0.00148369
2,2,nccl,100000000,1000000,exp1_nccl_2_2_E8.log,0.0473807,0.458752,1.66707,0.00208133,0.000971736
2,2,nccl,1000000000,10000000,exp1_nccl_2_2_E9.log,0.445514,3.16723,10.454,0.00975607,0.00439018
1,4,nccl,100000,1000,exp1_nccl_4_1_E5.log,0.0194213,0.03072,0.009216,0.0180819,0.000142047
1,4,nccl,1000000,10000,exp1_nccl_4_1_E6.log,0.01844,0.049152,0.017408,0.0174487,0.000591651
1,4,nccl,10000000,100000,exp1_nccl_4_1_E7.log,0.0223363,0.06656,0.13824,0.0152591,0.000732316
1,4,nccl,100000000,1000000,exp1_nccl_4_1_E8.log,0.040112,0.24576,1.13766,0.0146625,0.0013563
1,4,nccl,1000000000,10000000,exp1_nccl_4_1_E9.log,0.239229,2.04186,9.7833,0.0154524,0.00852771
2,4,nccl,100000,1000,exp1_nccl_4_2_E5.log,0.0157541,0.043008,0.008192,0.000311215,0.000113543
2,4,nccl,1000000,10000,exp1_nccl_4_2_E6.log,0.0164887,0.038912,0.019456,0.000383459,0.000203682
2,4,nccl,10000000,100000,exp1_nccl_4_2_E7.log,0.023252,0.06144,0.13312,0.000534722,0.00076114
2,4,nccl,100000000,1000000,exp1_nccl_4_2_E8.log,0.0637475,0.244736,1.15712,0.00161251,0.0013852
2,4,nccl,1000000000,10000000,exp1_nccl_4_2_E9.log,0.475754,2.03469,9.54675,0.011295,0.0083948
2,8,nccl,100000,1000,exp1_nccl_8_2_E5.log,0.0619674,0.045056,0.008192,0.0197368,0.0001815
2,8,nccl,1000000,10000,exp1_nccl_8_2_E6.log,0.0656395,0.043008,0.012288,0.0229738,0.000536908
2,8,nccl,10000000,100000,exp1_nccl_8_2_E7.log,0.0657776,0.057344,0.078848,0.0195567,0.000700844
2,8,nccl,100000000,1000000,exp1_nccl_8_2_E8.log,0.097357,0.13824,0.681984,0.0212903,0.0021865
2,8,nccl,1000000000,10000000,exp1_nccl_8_2_E9.log,0.516776,0.925696,5.05651,0.0425321,0.0167253
1,2,nv.mgdr,100000,1000,exp1_nv.mgdr_2_1_E5.log,0.240187,0.049152,0.008192,0.000981553,0.000123442
1,2,nv.mgdr,1000000,10000,exp1_nv.mgdr_2_1_E6.log,0.243148,0.0512,0.0256,0.00107335,0.000203031
1,2,nv.mgdr,10000000,100000,exp1_nv.mgdr_2_1_E7.log,0.251999,0.095232,0.181248,0.00131084,0.000641294
1,2,nv.mgdr,100000000,1000000,exp1_nv.mgdr_2_1_E8.log,0.342052,0.453632,1.57286,0.00388385,0.000961105
1,2,nv.mgdr,1000000000,10000000,exp1_nv.mgdr_2_1_E9.log,1.24476,3.64851,13.0335,0.0259533,0.00473092
2,2,nv.mgdr,100000,1000,exp1_nv.mgdr_2_2_E5.log,0.0414878,0.043008,0.008192,8.7454e-05,0.000123512
2,2,nv.mgdr,1000000,10000,exp1_nv.mgdr_2_2_E6.log,0.0311763,0.049152,0.023552,0.000205877,0.000187782
2,2,nv.mgdr,10000000,100000,exp1_nv.mgdr_2_2_E7.log,0.0335433,0.077824,0.176128,0.000621425,0.000608173
2,2,nv.mgdr,100000000,1000000,exp1_nv.mgdr_2_2_E8.log,0.325427,0.453632,1.5831,0.00376144,0.00100732
2,2,nv.mgdr,1000000000,10000000,exp1_nv.mgdr_2_2_E9.log,4.29258,3.65978,12.8635,0.0335498,0.00476004
1,4,nv.mgdr,100000,1000,exp1_nv.mgdr_4_1_E5.log,0.339663,0.048128,0.008192,0.00197397,0.000134092
1,4,nv.mgdr,1000000,10000,exp1_nv.mgdr_4_1_E6.log,0.339193,0.0512,0.017408,0.0024077,0.000217198
1,4,nv.mgdr,10000000,100000,exp1_nv.mgdr_4_1_E7.log,0.350347,0.074752,0.121856,0.00256454,0.00151795
1,4,nv.mgdr,100000000,1000000,exp1_nv.mgdr_4_1_E8.log,0.457901,0.269312,1.10797,0.0057398,0.00139182
1,4,nv.mgdr,1000000000,10000000,exp1_nv.mgdr_4_1_E9.log,1.51381,1.99168,9.94509,0.0285696,0.00899824
2,4,nv.mgdr,100000,1000,exp1_nv.mgdr_4_2_E5.log,0.313749,0.054272,0.008192,0.00101685,0.000135354
2,4,nv.mgdr,1000000,10000,exp1_nv.mgdr_4_2_E6.log,0.332239,0.04608,0.017408,0.00696701,0.000219832
2,4,nv.mgdr,10000000,100000,exp1_nv.mgdr_4_2_E7.log,0.316262,0.07168,0.123904,0.00380395,0.000656202
2,4,nv.mgdr,100000000,1000000,exp1_nv.mgdr_4_2_E8.log,0.564561,0.24064,1.11923,0.00601458,0.00139109
2,4,nv.mgdr,1000000000,10000000,exp1_nv.mgdr_4_2_E9.log,4.44616,1.99066,10.0567,0.0442208,0.00898246
2,8,nv.mgdr,100000,1000,exp1_nv.mgdr_8_2_E5.log,0.490409,0.0768,0.013312,0.00231293,0.000177844
2,8,nv.mgdr,1000000,10000,exp1_nv.mgdr_8_2_E6.log,0.477939,0.049152,0.012288,0.0030333,0.000227978
2,8,nv.mgdr,10000000,100000,exp1_nv.mgdr_8_2_E7.log,0.474855,0.057344,0.07168,0.00372201,0.000678952
2,8,nv.mgdr,100000000,1000000,exp1_nv.mgdr_8_2_E8.log,0.542074,0.160768,0.689152,0.0103363,0.00222463
2,8,nv.mgdr,1000000000,10000000,exp1_nv.mgdr_8_2_E9.log,4.27163,1.09056,6.89357,0.27691,0.0179499
1,2,nv.mpi,100000,1000,exp1_nv.mpi_2_1_E5.log,0.000203632,0.045056,0.008192,0.241585,0.000134132
1,2,nv.mpi,1000000,10000,exp1_nv.mpi_2_1_E6.log,0.00065473,0.0512,0.027648,0.280965,0.000208131
1,2,nv.mpi,10000000,100000,exp1_nv.mpi_2_1_E7.log,0.00488976,0.091136,0.178176,0.242428,0.000653888
1,2,nv.mpi,100000000,1000000,exp1_nv.mpi_2_1_E8.log,0.0438541,0.452608,1.57082,0.244878,0.000951978
1,2,nv.mpi,1000000000,10000000,exp1_nv.mpi_2_1_E9.log,0.439228,3.64954,13.0181,0.264638,0.00468905
2,2,nv.mpi,100000,1000,exp1_nv.mpi_2_2_E5.log,0.0235121,0.043008,0.008192,0.0111317,0.000120717
2,2,nv.mpi,1000000,10000,exp1_nv.mpi_2_2_E6.log,0.0310515,0.047104,0.023552,0.0113674,0.000189205
2,2,nv.mpi,10000000,100000,exp1_nv.mpi_2_2_E7.log,0.0236474,0.08192,0.1792,0.0118167,0.000630985
2,2,nv.mpi,100000000,1000000,exp1_nv.mpi_2_2_E8.log,0.0662633,0.453632,1.58003,0.0147588,0.000993105
2,2,nv.mpi,1000000000,10000000,exp1_nv.mpi_2_2_E9.log,0.533106,3.65568,12.8778,0.0435582,0.00434453
1,4,nv.mpi,100000,1000,exp1_nv.mpi_4_1_E5.log,0.000223951,0.037888,0.007168,0.339653,0.00014936
1,4,nv.mpi,1000000,10000,exp1_nv.mpi_4_1_E6.log,0.000673335,0.058368,0.017408,0.341883,0.000232377
1,4,nv.mpi,10000000,100000,exp1_nv.mpi_4_1_E7.log,0.00471975,0.082944,0.124928,0.338941,0.000711296
1,4,nv.mpi,100000000,1000000,exp1_nv.mpi_4_1_E8.log,0.0432673,0.243712,1.09056,0.343103,0.00144974
1,4,nv.mpi,1000000000,10000000,exp1_nv.mpi_4_1_E9.log,0.434605,1.98758,9.98093,0.363025,0.00897609
2,4,nv.mpi,100000,1000,exp1_nv.mpi_4_2_E5.log,0.0593661,0.047104,0.008192,0.254067,0.000139111
2,4,nv.mpi,1000000,10000,exp1_nv.mpi_4_2_E6.log,0.045257,0.037888,0.017408,0.292262,0.0002242
2,4,nv.mpi,10000000,100000,exp1_nv.mpi_4_2_E7.log,0.0489998,0.06656,0.130048,0.270341,0.000699802
2,4,nv.mpi,100000000,1000000,exp1_nv.mpi_4_2_E8.log,0.0932046,0.242688,1.12845,0.264087,0.00142292
2,4,nv.mpi,1000000000,10000000,exp1_nv.mpi_4_2_E9.log,0.588762,1.98963,10.0055,0.407012,0.00896016
2,8,nv.mpi,100000,1000,exp1_nv.mpi_8_2_E5.log,0.0887549,0.049152,0.007168,0.370912,0.00018673
2,8,nv.mpi,1000000,10000,exp1_nv.mpi_8_2_E6.log,0.0900631,0.045056,0.011264,0.381315,0.000248648
2,8,nv.mpi,10000000,100000,exp1_nv.mpi_8_2_E7.log,0.100887,0.05632,0.072704,0.429594,0.000735869
2,8,nv.mpi,100000000,1000000,exp1_nv.mpi_8_2_E8.log,0.140126,0.150528,0.688128,0.443229,0.00218277
2,8,nv.mpi,1000000000,10000000,exp1_nv.mpi_8_2_E9.log,0.590553,1.08851,6.87514,0.569206,0.0191083
1,2,nv.nccl,100000,1000,exp1_nv.nccl_2_1_E5.log,0.429411,0.048128,0.01024,0.40697,0.000132388
1,2,nv.nccl,1000000,10000,exp1_nv.nccl_2_1_E6.log,0.397575,0.054272,0.026624,0.406812,0.000205105
1,2,nv.nccl,10000000,100000,exp1_nv.nccl_2_1_E7.log,0.436396,0.068608,0.181248,0.39713,0.00060176
1,2,nv.nccl,100000000,1000000,exp1_nv.nccl_2_1_E8.log,0.431408,0.457728,1.59232,0.532018,0.000946458
1,2,nv.nccl,1000000000,10000000,exp1_nv.nccl_2_1_E9.log,0.620605,3.64544,12.8696,0.41582,0.00426459
2,2,nv.nccl,100000,1000,exp1_nv.nccl_2_2_E5.log,0.268507,0.044032,0.01024,0.261587,0.000136656
2,2,nv.nccl,1000000,10000,exp1_nv.nccl_2_2_E6.log,0.27658,0.050176,0.024576,0.347634,0.00020747
2,2,nv.nccl,10000000,100000,exp1_nv.nccl_2_2_E7.log,0.276299,0.089088,0.178176,0.280464,0.000674406
2,2,nv.nccl,100000000,1000000,exp1_nv.nccl_2_2_E8.log,0.381873,0.452608,1.58106,0.220451,0.000907254
2,2,nv.nccl,1000000000,10000000,exp1_nv.nccl_2_2_E9.log,1.37324,3.08019,10.3178,0.262175,0.00437884
1,4,nv.nccl,100000,1000,exp1_nv.nccl_4_1_E5.log,1.40836,0.06144,0.01536,1.32406,0.000141505
1,4,nv.nccl,1000000,10000,exp1_nv.nccl_4_1_E6.log,1.32147,0.054272,0.021504,1.22349,0.000229932
1,4,nv.nccl,10000000,100000,exp1_nv.nccl_4_1_E7.log,1.21571,0.073728,0.130048,1.22143,0.000678364
1,4,nv.nccl,100000000,1000000,exp1_nv.nccl_4_1_E8.log,1.2292,0.244736,1.10387,1.20082,0.00144338
1,4,nv.nccl,1000000000,10000000,exp1_nv.nccl_4_1_E9.log,1.60051,1.98963,9.89696,1.21993,0.00877135
2,4,nv.nccl,100000,1000,exp1_nv.nccl_4_2_E5.log,0.528269,0.044032,0.008192,0.596694,0.000140033
2,4,nv.nccl,1000000,10000,exp1_nv.nccl_4_2_E6.log,0.525835,0.041984,0.016384,0.592008,0.000224712
2,4,nv.nccl,10000000,100000,exp1_nv.nccl_4_2_E7.log,0.512569,0.072704,0.131072,0.564309,0.000635732
2,4,nv.nccl,100000000,1000000,exp1_nv.nccl_4_2_E8.log,0.588614,0.24064,1.11718,0.541661,0.00410729
2,4,nv.nccl,1000000000,10000000,exp1_nv.nccl_4_2_E9.log,1.32129,1.68038,8.00358,0.600457,0.00818542
2,8,nv.nccl,100000,1000,exp1_nv.nccl_8_2_E5.log,1.12692,0.038912,0.008192,1.31187,0.000201378
2,8,nv.nccl,1000000,10000,exp1_nv.nccl_8_2_E6.log,1.31179,0.037888,0.01024,1.27367,0.00025082
2,8,nv.nccl,10000000,100000,exp1_nv.nccl_8_2_E7.log,1.12423,0.062464,0.077824,1.32597,0.000699164
2,8,nv.nccl,100000000,1000000,exp1_nv.nccl_8_2_E8.log,1.20252,0.141312,0.683008,1.25196,0.00197286
2,8,nv.nccl,1000000000,10000000,exp1_nv.nccl_8_2_E9.log,2.13973,0.912384,5.47942,1.32406,0.0164846
